state,date,cases,deaths,newCases
Alabama,2020-03-13,6,0,6
Alabama,2020-03-14,12,0,6
Alabama,2020-03-15,23,0,11
Alabama,2020-03-16,29,0,6
Alabama,2020-03-17,39,0,10
Alabama,2020-03-18,51,0,12
Alabama,2020-03-19,78,0,27
Alabama,2020-03-20,106,0,28
Alabama,2020-03-21,131,0,25
Alabama,2020-03-22,157,0,26
Alabama,2020-03-23,196,0,39
Alabama,2020-03-24,242,0,46
Alabama,2020-03-25,386,1,144
Alabama,2020-03-26,538,3,152
Alabama,2020-03-27,639,4,101
Alabama,2020-03-28,720,4,81
Alabama,2020-03-29,830,5,110
Alabama,2020-03-30,947,11,117
Alabama,2020-03-31,999,13,52
Alabama,2020-04-01,1106,28,107
Alabama,2020-04-02,1270,32,164
Alabama,2020-04-03,1535,38,265
Alabama,2020-04-04,1632,44,97
Alabama,2020-04-05,1840,45,208
Alabama,2020-04-06,2005,53,165
Alabama,2020-04-07,2197,64,192
Alabama,2020-04-08,2498,67,301
Alabama,2020-04-09,2838,78,340
Alabama,2020-04-10,3008,80,170
Alabama,2020-04-11,3262,93,254
Alabama,2020-04-12,3583,93,321
Alabama,2020-04-13,3805,104,222
Alabama,2020-04-14,3953,114,148
Alabama,2020-04-15,4241,123,288
Alabama,2020-04-16,4404,137,163
Alabama,2020-04-17,4572,151,168
Alabama,2020-04-18,4723,147,151
Alabama,2020-04-19,4903,160,180
Alabama,2020-04-20,5078,164,175
Alabama,2020-04-21,5327,186,249
Alabama,2020-04-22,5610,201,283
Alabama,2020-04-23,5832,197,222
Alabama,2020-04-24,6026,209,194
Alabama,2020-04-25,6213,213,187
Alabama,2020-04-26,6421,219,208
Alabama,2020-04-27,6539,228,118
Alabama,2020-04-28,6750,242,211
Alabama,2020-04-29,6925,262,175
Alabama,2020-04-30,7068,272,143
Alabama,2020-05-01,7294,289,226
Alabama,2020-05-02,7611,288,317
Alabama,2020-05-03,7888,290,277
Alabama,2020-05-04,8112,298,224
Alabama,2020-05-05,8437,315,325
Alabama,2020-05-06,8691,343,254
Alabama,2020-05-07,9046,369,355
Alabama,2020-05-08,9385,383,339
Alabama,2020-05-09,9668,390,283
Alabama,2020-05-10,9889,393,221
Alabama,2020-05-11,10164,403,275
Alabama,2020-05-12,10464,435,300
Alabama,2020-05-13,10700,450,236
Alabama,2020-05-14,11101,473,401
Alabama,2020-05-15,11373,483,272
Alaska,2020-03-12,1,0,1
Alaska,2020-03-13,1,0,0
Alaska,2020-03-14,1,0,0
Alaska,2020-03-15,1,0,0
Alaska,2020-03-16,3,0,2
Alaska,2020-03-17,6,0,3
Alaska,2020-03-18,9,0,3
Alaska,2020-03-19,12,0,3
Alaska,2020-03-20,14,0,2
Alaska,2020-03-21,21,0,7
Alaska,2020-03-22,22,0,1
Alaska,2020-03-23,36,0,14
Alaska,2020-03-24,42,0,6
Alaska,2020-03-25,59,0,17
Alaska,2020-03-26,69,0,10
Alaska,2020-03-27,85,1,16
Alaska,2020-03-28,102,1,17
Alaska,2020-03-29,114,1,12
Alaska,2020-03-30,119,2,5
Alaska,2020-03-31,133,2,14
Alaska,2020-04-01,143,2,10
Alaska,2020-04-02,146,2,3
Alaska,2020-04-03,156,2,10
Alaska,2020-04-04,169,3,13
Alaska,2020-04-05,183,4,14
Alaska,2020-04-06,189,4,6
Alaska,2020-04-07,211,4,22
Alaska,2020-04-08,224,5,13
Alaska,2020-04-09,233,5,9
Alaska,2020-04-10,244,5,11
Alaska,2020-04-11,255,6,11
Alaska,2020-04-12,270,6,15
Alaska,2020-04-13,275,6,5
Alaska,2020-04-14,283,7,8
Alaska,2020-04-15,291,7,8
Alaska,2020-04-16,298,7,7
Alaska,2020-04-17,307,7,9
Alaska,2020-04-18,312,7,5
Alaska,2020-04-19,317,7,5
Alaska,2020-04-20,319,7,2
Alaska,2020-04-21,327,7,8
Alaska,2020-04-22,333,7,6
Alaska,2020-04-23,335,7,2
Alaska,2020-04-24,337,7,2
Alaska,2020-04-25,337,7,0
Alaska,2020-04-26,339,7,2
Alaska,2020-04-27,343,7,4
Alaska,2020-04-28,349,7,6
Alaska,2020-04-29,353,7,4
Alaska,2020-04-30,353,7,0
Alaska,2020-05-01,362,7,9
Alaska,2020-05-02,363,7,1
Alaska,2020-05-03,366,7,3
Alaska,2020-05-04,368,7,2
Alaska,2020-05-05,369,7,1
Alaska,2020-05-06,370,8,1
Alaska,2020-05-07,373,8,3
Alaska,2020-05-08,376,8,3
Alaska,2020-05-09,377,8,1
Alaska,2020-05-10,378,8,1
Alaska,2020-05-11,380,8,2
Alaska,2020-05-12,383,8,3
Alaska,2020-05-13,383,8,0
Alaska,2020-05-14,387,8,4
Alaska,2020-05-15,388,8,1
Arizona,2020-01-26,1,0,1
Arizona,2020-01-27,1,0,0
Arizona,2020-01-28,1,0,0
Arizona,2020-01-29,1,0,0
Arizona,2020-01-30,1,0,0
Arizona,2020-01-31,1,0,0
Arizona,2020-02-01,1,0,0
Arizona,2020-02-02,1,0,0
Arizona,2020-02-03,1,0,0
Arizona,2020-02-04,1,0,0
Arizona,2020-02-05,1,0,0
Arizona,2020-02-06,1,0,0
Arizona,2020-02-07,1,0,0
Arizona,2020-02-08,1,0,0
Arizona,2020-02-09,1,0,0
Arizona,2020-02-10,1,0,0
Arizona,2020-02-11,1,0,0
