state,cases,date_peak,date_enacted
New York,12312,2020-04-04,2020-03-22
Massachusetts,4946,2020-04-24,2020-03-24
New Jersey,4305,2020-04-03,2020-03-21
Illinois,4045,2020-05-12,2020-03-21
Louisiana,2728,2020-04-02,2020-03-23
California,2515,2020-05-05,2020-03-19
Connecticut,2109,2020-04-22,2020-03-23
Pennsylvania,2033,2020-04-30,2020-04-01
Michigan,1878,2020-04-03,2020-03-24
Texas,1818,2020-05-15,2020-04-02
Maryland,1741,2020-05-01,2020-03-30
Georgia,1598,2020-04-07,2020-04-03
Florida,1413,2020-04-17,2020-04-03
Ohio,1380,2020-04-19,2020-03-23
Virginia,1314,2020-05-07,2020-03-30
Tennessee,1275,2020-05-01,2020-03-31
Indiana,1125,2020-04-27,2020-03-24
Washington,997,2020-04-02,2020-03-25
Colorado,993,2020-04-24,2020-03-26
Minnesota,806,2020-05-15,2020-03-27
Iowa,758,2020-05-02,
North Carolina,743,2020-05-14,2020-03-30
Wyoming,716,2020-05-15,
Nebraska,641,2020-05-08,
Arizona,581,2020-05-08,2020-03-31
Wisconsin,574,2020-05-15,2020-03-25
Kansas,511,2020-05-08,2020-03-30
Delaware,458,2020-04-26,2020-03-24
Kentucky,452,2020-05-05,2020-03-26
Rhode Island,443,2020-04-24,2020-03-28
Mississippi,404,2020-05-08,2020-04-03
Alabama,401,2020-05-14,2020-04-04
Missouri,355,2020-04-06,2020-04-06
District of Columbia,335,2020-05-01,2020-04-01
Arkansas,291,2020-04-21,
South Carolina,275,2020-04-16,2020-04-07
South Dakota,249,2020-05-09,
New Mexico,238,2020-04-29,2020-03-24
Idaho,221,2020-04-02,2020-03-25
Nevada,217,2020-04-08,2020-04-01
Utah,195,2020-05-08,
Oklahoma,172,2020-04-04,
New Hampshire,164,2020-05-01,2020-03-27
Oregon,100,2020-04-04,2020-03-23
North Dakota,89,2020-04-18,
Maine,76,2020-05-07,2020-04-02
Vermont,72,2020-04-04,2020-03-25
West Virginia,71,2020-04-08,2020-03-24
Hawaii,34,2020-04-01,2020-03-25
Montana,31,2020-03-27,2020-03-28
Alaska,22,2020-04-07,2020-03-28
